#,单词,音标,解释,笔记 
418,"firstname","","n. 名",
419,"fishy","英:/'fɪʃɪ/ 美:/'fɪʃi/","adj. 鱼的；似鱼的；可疑的；呆滞的


比较级:  
fishier, fishiest 

副 词:  
fishily

名 词:  
fishiness",
420,"fist","英:/fɪst/ 美:/fɪst/","n. 拳, 拳头

时 态:  
fisted, fisting, fists",
421,"flake","英:/fleɪk/ 美:/flek/","flake
  [flaked, flaked, flaking]
 flake off 
     flake off • flake off sth to break away from a surface in small, very thin pieces - use this especially about old paint or dry skin:
   ▪ The walls were damp, and some of the white paint was flaking off.
   ▪ There were ugly patches of red where the skin had flaked off her sunburned shoulders.
   ■ SIMILAR TO: ↑peel off
 flake out 
  1.   flake out BrE informal to suddenly fall asleep because you are very tired:
   ▪ He was so exhausted that he just flaked out on the sofa.
   ■ SIMILAR TO: ↑crash out  spoken informal, ↑zonk out  informal, especially AmE
  2.  be flaked out BrE informal to be extremely tired:
   ▪ I'm flaked out now. Could we talk about this in the morning?
   ■ SIMILAR TO: be shattered, be exhausted
  3.  flake out AmE informal to forget to do something that you promised to do:
   ▪ Paula flaked out and didn't get the tickets for the play tonight.
   + on
   ▪ Kathy kind of flaked out on us today.",
422,"flat","英:/flæt/ 美:/flæt/","- adj. 平坦的；单调的；浅的；扁平的
- adv. 断然地；平直地
- n. 平地；平面；公寓
- vi. 变平
- vt. 使变平


比较级:  
flatter, flattest 

副 词:  
flatly

名 词:  
flatness",
423,"flavor","英:/ˈfleɪvə/ 美:/ˈfleɪvər/","- n. 味,味道
- 韵味,风味
- 香料,调味料
- 特点；特色
- vt. 给…调味
- 给…增添风趣

时 态:  
flavored, flavoring, flavors 

形容词:  
flavorless

形容词:  
flavorous

形容词:  
flavory",
424,"flaw","英:/flɔː/ 美:/flɔ/","n.瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v.使生裂缝，使有裂纹；使无效；使有缺陷
vi.生裂缝；变得有缺陷

时 态:  
flawed, flawing, flaws 

形容词:  
flawy",
425,"flee","英:/fliː/ 美:/fli/","- vi. 逃走, 逃掉
- vt. 逃离, 逃避

时 态:  
fled 
fleeing, flees 

名 词:  
fleer",
426,"fleet","英:/fliːt/ 美:/flit/","- adj. 快速的，敏捷的
- n. 舰队；小河；港湾
- vi. 疾驰；飞逝；掠过
- vt. 消磨


比较级:  
fleeter, fleetest 

副 词:  
fleetly

名 词:  
fleetness",
427,"flimsy","英:/'flɪmzɪ/ 美:/'flɪmzi/","- adj. 脆弱的；浅薄的；易损坏的；不周密的
- n. 薄纸；复写纸；打字纸


比较级:  
flimsier, flimsiest 

副 词:  
flimsily

名 词:  
flimsiness",
428,"flinch","英:/'flɪn(t)ʃ/ 美:/flɪntʃ/","flinch
  [flinched, flinched, flinching]
 flinch from 
     flinch from sth  usually negative to avoid doing something because you do not like it or are afraid of it:
   ▪ He was a brave man and a great leader who never flinched from his duty.
   flinch from doing sth
   ▪ Ruth knew that she must not flinch from telling him the truth.",
429,"floorplan","","平[楼]面布置图",
430,"flour","英:/'flaʊə/ 美:/'flaʊɚ/","- n. 面粉；粉状物质
- vt. 撒粉于；把…磨成粉


时 态:  
floured, flouring, flours 

形容词:  
floury",
431,"flourish","英:/'flʌrɪʃ/ 美:/'flɝɪʃ/","- vi. 茂盛, 繁荣
- 兴旺发达
- vt. 挥动

时 态:  
flourished, flourishing, flourishes",
432,"flowery","英:/'flaʊərɪ/ 美:/ˈflaʊəri/","- adj. 用花装饰的
- (说话或作品)辞藻华丽的

比较级:  
flowerier, floweriest 

名 词:  
floweriness",
433,"foot","英:/fʊt/ 美:/fʊt/","- n. 脚；英尺；末尾；步调
- vi. 步行；跳舞；总计
- vt. 支付；给……换底


复 数: 
feet",
434,"formalism","英:/'fɔːm(ə)lɪz(ə)m/ 美:/'fɔrməlɪzəm/","- n. (艺术、宗教等方面的)形式主义
- adj. 形式主义的

形容词:  
formalist

形容词:  
formalistic",
435,"formidable","英:/'fɔːmɪdəb(ə)l/ 美:/'fɔrmɪdəbl/","- adj. 可怕的, 令人畏惧的
- 令人惊叹[钦佩]的
- 难以克服[对付]的

副 词:  
formidably",
436,"formulae","/'fɔrmjəli/","公式,规则,客套语(formula的复数)",
437,"formulate","英:/'fɔːmjʊleɪt/ 美:/'fɔrmjə'let/","- vt. 构想出, 规划
- 确切地阐述

时 态:  
formulated, formulating, formulates 

名 词:  
formulation

名 词:  
formulator",
438,"fortune","英:/'fɔːtʃuːn/ 美:/'fɔrtʃən/","- n. 运气；财富；命运
- vt. 给予财富
- vi. 偶然发生


时 态:  
fortuned, fortuning, fortunes",
439,"foster","英:/ˈfɔstə/ 美:/ˈfɔstɚ/","- vt. 养育，抚育；培养；抱（希望等）
- adj. 收养的，养育的

Foster福斯特(姓氏, 男子名)

时 态:  
fostered, fostering, fosters",
440,"fourth","英:/fɔːθ/ 美:/fɔrθ/","num. 第四

副 词:  
fourth",
441,"frail","英:/freɪl/ 美:/frel/","- adj. 虚弱的；脆弱的
- n. 灯心草篓；少妇；少女


比较级:  
frailer, frailest 

副 词:  
frailly

名 词:  
frailness",
442,"frantically","英:/'fræntikəli/ 美:/ˈfræntɪklɪ/","adv. 疯狂地;狂热地",
443,"frenetic","英:/frə'netɪk/ 美:/frə'nɛtɪk/","adj. 忙乱的, 狂乱的, 狂热的",
444,"frontier","英:/'frʌntɪə/ 美:/frʌn'tɪr/","- n. 边界, 边境
- 开发地区的边缘, 边远地区
- 尚待开发的领域, 尖端",
445,"frontispiece","英:/'frʌntɪspiːs/ 美:/'frʌntɪspis/","n. 卷首插画,标题页,正面,正门",
446,"frost","英:/frɔst/ 美:/frɔst/","frost
  [frosted, frosted, frosting]
 frost over/up 
     frost over/up to become covered in frost (= a thin layer of ice that looks like white powder):
   ▪ When we woke up, the windows had frosted over and we could see our breath.
   ▪ Turn on the heat - the windshield is frosting up.",
447,"frostbite","英:/'frɒs(t)baɪt/ 美:/'frɔst'baɪt/","n. 冻伤

时 态:  
frostbit 
frostbitten 
frostbiting, frostbites",
448,"fruity","英:/'fruːtɪ/ 美:/'fruti/","- adj. 有果味的
- (粗俗而常含色情内容)逗笑的

比较级:  
fruitier, fruitiest",
449,"frustrate","英:/frʌ'streɪt/ 美:/'frʌstret/","- vt. 使不成功, 挫败, 阻止
- 使受挫折, 令人沮丧

时 态:  
frustrated, frustrating, frustrates",
450,"frustrating","英:/frʌˈstreɪtɪŋ/ 美:/'frʌstretɪŋ/","adj. 产生挫折的；使人沮丧的，令人泄气的",
451,"fumble","英:/'fʌmb(ə)l/ 美:/'fʌmbl/","fumble
  [fumbled, fumbled, fumbling]
 fumble around 
     fumble around/about to move your hands around in order to find something or do something, but with difficulty, for example because you cannot see or you feel nervous:
   ▪ Frank fumbled around in the darkness, unable to find the light switch.
   ▪ Before I learned how to use a computer, I would fumble about trying to work out which buttons to push.
   + with
   ▪ John nervously fumbled around with the papers on his desk.",
452,"furniture","英:/'fɜːnɪtʃə/ 美:/'fɝnɪtʃɚ/","n. 家具",
453,"furry","英:/'fɜːrɪ/ 美:/ˈfə..ri/","- adj. 毛皮的
- 有皮毛般覆盖的

比较级:  
furrier, furriest 

名 词:  
furriness",
454,"gap","英:/gæp/ 美:/ɡæp/","- n. 缺口；间隙；空白
- vi. 裂开
- vt. 使成缺口


时 态:  
gapped, gapping, gaps",
455,"gape","英:/geɪp/ 美:/ɡep/","- vi. 裂开，张开；打呵欠
- n. 裂口，张嘴；呵欠


时 态:  
gaped, gaping, gapes",
456,"gasoline","英:/'gæsəliːn/ 美:/ˈɡæsəˌlin/","n. 汽油",
457,"gasp","英:/gɑːsp/ 美:/ɡæsp/","gasp
  [gasped, gasped, gasping]
 gasp out 
     gasp out sth • gasp sth out to say something with difficulty because you are breathing very quickly and deeply, for example because you have been using a lot of effort, or your body is weak:
   ▪ &quot;I think I've been shot,&quot; he gasped out, then fell to the ground.
   ■ SIMILAR TO: ↑gasp",
458,"gear","英:/gɪə/ 美:/ɡɪr/","gear
  [geared, geared, gearing]
 gear to/towards 
     be geared to sth/sb • be geared towards sth/sb to be organized or designed in a way that is suitable for a particular purpose, situation, or type of person:
   ▪ At Club 18-30, all of our holidays are geared to maximum fun.
   ▪ There is a specialized sports and fitness program which is geared towards the needs of older people.
   geared to/towards doing sth
   ▪ Many schools are totally gearing towards passing exams instead of providing a broad education.
 gear up 
    gear up to prepare for something that is going to happen soon, or for something that may be necessary
   + for
   ▪ Unemployment fell by more than 3,000 as the region started to gear up for the tourist season.
   + to do sth
   ▪ Yeltsin was struggling to deal with the rebels at the same time as gearing up to run for re-election.
   gear yourself up
   ▪ Apple has been gearing itself up for the launch of its new computer, the iMac.
   be geared up (for sth/to do sth) (=be well prepared for sth)
   ▪ After years and years of married life, a lot of people aren't geared up to live independently.
   ■ SIMILAR TO: prepare",
459,"genocide","英:/'dʒenəsaɪd/ 美:/'dʒɛnəsaɪd/","n. 种族灭绝；灭绝整个种族的大屠杀


形容词:  
genocidal",
460,"genus","英:/'dʒiːnəs/ 美:/'dʒinəs/","n. 类，种；属


复 数: 
genera",
461,"get about","","get about
  1. get about BrE to be able to move around places without much difficulty - use this about people who are old, ill, or injured:
   ▪ My grandfather's eighty now, and he doesn't get about much.
   ▪ Phil had broken his leg, but could still get about on crutches.
   ■ SIMILAR TO: ↑get around
    get about BrE to travel around a city or area:
   ▪ The streets are filled with bicycles, still the best way of getting about in Parma.
   ■ SIMILAR TO: ↑get around
  2.   get about BrE if news or information gets about, a lot of people hear about it - use this especially about information that should be secret:
   ▪ &quot;Who told you that!&quot; &quot;Well, you know how things get about in a small community,&quot; said Dimity awkwardly.
   ▪ I was sure that Maslin was having a homosexual affair, but how would Mrs Maslin feel if such a story got about?
   word gets about (=many people hear about something)
   ▪ Word had got about that the company was in trouble, and clients began to cancel their orders.
   ■ SIMILAR TO: ↑get out, ↑get around
  3.   get about BrE spoken to travel to a lot of different places:
   ▪ Tommy certainly gets about - last month he was in Japan, and now they've sent him to Singapore.
   ■ SIMILAR TO: ↑get around
  4.   get about BrE spoken to have sexual relationships with a lot of different people:
   ▪ That Brendan gets about a bit, you know. Every time I see him he's with a different woman.
   ■ SIMILAR TO: ↑get around",
462,"get ahead","","get ahead
     get ahead to be successful in your job so that you can progress to a more important job or a higher rank:
   ▪ Work hard and you'll get ahead. That's what capitalism is all about.
   + in
   ▪ There are things I want do in my life: earn a good salary, get ahead in a career.
   ■ SIMILAR TO: ↑get on  BrE, progress",
463,"get injured","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
464,"giggle","英:/'gɪg(ə)l/ 美:/'ɡɪɡl/","- vi. 傻笑；咯咯地笑
- vt. 咯咯地笑着说
- n. 吃吃的笑


时 态:  
giggled, giggling, giggles 

名 词:  
giggler

形容词:  
giggly",
465,"give off","","give off
  1.   give off sth • give sth off to produce something such as a smell, heat, light, energy, gas, or a sound:
   ▪ The flowers gave off a sweet scent.
   ▪ the enormous amount of energy which is given off by nuclear reactions
   ■ SIMILAR TO: produce, ↑give out
  2.   give off sth if someone gives off a particular quality, they seem to have that quality from the way they look or behave:
   ▪ Felicity gave off an impression of light and warmth.
   ▪ Robert's father gave off an air of superiority and smugness.
   ■ SIMILAR TO: ↑give out, exude  formal",
466,"glamorous","英:/'glæmərəs/ 美:/'glæmərəs/","adj. 富有魅力的;迷人的",
467,"gleaming","英:/'gli:miŋ/ 美:/ ˈɡlimɪŋ/","- n. 微弱的闪光，瞬息的一现
- adj. 闪闪发光的
- v. 闪烁， 隐约地闪现（gleam的ing形式）",
468,"goose","英:/guːs/ 美:/ɡus/","- n. 鹅
- 鹅肉
- 傻瓜, 笨蛋

复 数: 
geese",
469,"gouge","英:/gaʊdʒ/ 美:/ɡaʊdʒ/","gouge
  [gouged, gouged, gouging]
 gouge out 
     gouge out sth • gouge sth out to remove something or dig it out, especially in a very violent way using something sharp:
   ▪ McClaren had struck Robert with a bottle and attempted to gouge out his eyes.
   ▪ 30,000 tonnes of rock a week are gouged out of the mountains.",
470,"gown","英:/gaʊn/ 美:/ɡaʊn/","- n. 长袍，长外衣；法衣；睡袍；礼服
- vt. 使穿睡衣


时 态:  
gowned, gowning, gowns",
471,"granted","英:/'gra:ntid/ 美:/ˈɡræntɪd/","conj. 诚然
adv. 的确
vt.  grant的过去式",
472,"granularity","/ˌgrænju'læriti/","n. 间隔尺寸,粒度",
473,"graphic","英:/'græfɪk/ 美:/'græfɪk/","adj. 图表的；形象的；绘画似的


副 词:  
graphically",
474,"grappling","英:/'ɡræpliŋ/ 美:/ˈɡræplɪŋ/","抓机;锚定",
475,"grin","英:/grɪn/ 美:/ɡrɪn/","- v. 露齿而笑，咧着嘴笑
- n. 露齿笑


时 态:  
grinned, grinning, grins 

名 词:  
grinner

副 词:  
grinningly",
476,"grind","英:/graɪnd/ 美:/ɡraɪnd/","grind
  [ground, ground, grinding]
 grind away 
     grind away  usually progressive informal to work very hard for a long period of time, especially when the work is boring or you do not seem to be making much progress:
   ▪ I've been grinding away for eight hours now, and I'm getting nowhere.
   ■ SIMILAR TO: ↑slave away, ↑boil away, ↑slog away  BrE informal
 grind away at 
     grind away at sth  usually progressive to gradually make something less strong or successful than it was before:
   ▪ The scandal is grinding away at the President's popularity.
 grind down 
  1.   grind down sb/sth • grind sb/sth down to gradually make someone lose their confidence, hope, or energy:
   ▪ A lot of the women have been ground down by illness and poverty.
   ▪ It was a poor country, ground down by war and economic blockade.
   ▪ Don't let the bastards grind you down!
   ■ SIMILAR TO: ↑wear down
  2.   grind down sth • grind sth down to make something solid into a powder, by crushing it:
   ▪ Chop the nuts and then grind them down before adding them to the sauce.
   ■ SIMILAR TO: ↑grind up
 grind on 
     grind on to continue for a long time in a slow and boring way:
   ▪ The trial ground on all through the long hot summer.
   ▪ The conversation ground on as the meal was consumed.
   ■ SIMILAR TO: ↑drag on
 grind out 
  1.   grind out sth • grind sth out to keep producing the same type of thing, without ever producing anything different or interesting:
   ▪ In nine months she managed to grind out five new romantic novels.
   ■ SIMILAR TO: ↑churn out
  2.   grind out sth • grind sth out AmE informal to manage to do something with a lot of effort:
   ▪ The home team were only able to grind out one touchdown against the Lions.
 grind up 
     grind up sth • grind sth up to make something solid into a powder, by crushing it:
   ▪ Local people grind up the leaves and use them to make tea.
   ▪ Mad cow disease started when parts of infected sheep were ground up and mixed with cattle feed.
   ■ SIMILAR TO: ↑grind down",
477,"groceries","","n. 食品;杂货",
478,"grocery","英:/'grəʊs(ə)rɪ/ 美:/'ɡrosəri/","- n. 杂货业
- 杂货店",
479,"Gucci","/'gutʃi/","n. 古琦（品牌名）",
480,"guerrilla","英:/gə'rɪlə/ 美:/gə'rɪlə/","n. 游击队员",
481,"hanker","英:/'hæŋkə/ 美:/'hæŋkɚ/","hanker
  [hankered, hankered, hankering]
 hanker after/for 
     hanker after/for sth to want something very much, especially something that it is difficult for you to get:
   ▪ Now and then I really hanker for big home-cooked meals.
   ▪ It's always better to have money than to hanker after it.
   ■ SIMILAR TO: ↑long for, crave",
482,"hardcover","英:/ˈhɑ:dkʌvə/ 美:/'hɑrd'kʌvɚ/","- n. 精装书
- adj. 精装书的,精装的",
483,"harmoniously","英:/h ɑ:ˈməʊnjəslɪ/ 美:/hɑr'monɪəsli/","adv. 和谐地;调和地",
484,"hatch","英:/hætʃ/ 美:/hætʃ/","hatch
  [hatched, hatched, hatching]
 hatch out 
     hatch out if birds, insects etc hatch out, or an egg hatches out, the baby animal breaks its shell and comes out of the egg:
   ▪ After a few days there were dozens of fluffy chicks hatching out.",
485,"haul","英:/hɔːl/ 美:/hɔl/","haul
  [hauled, hauled, hauling]
 haul before 
    be hauled before/in front of sb to be forced to appear in a court of law or to see someone in authority, so that they can decide whether you have broken a law or rules etc and punish you if necessary:
   ▪ Stephens was the first airline pilot to be hauled before a criminal court and convicted of negligence.
   ▪ He was hauled up in front of the headmaster and asked to explain his behaviour.
   ■ SIMILAR TO: be hauled up
 haul in 
  1.   haul sb in if the police haul someone in, they take that person to the police station to answer questions about something illegal they have done:
   ▪ The police can't just haul someone in if they haven't got any evidence against them.
   + for
   ▪ Labourers were continually being hauled in for petty crime and drunkenness.
   ■ SIMILAR TO: arrest
  2.   haul in sth • haul sth in to pull something heavy towards you using a rope, for example a fishing net or sails:
   ▪ The fishermen were hauling in their nets and getting ready to go home.
  3.   haul in sth to earn or obtain a lot of something, especially money:
   ▪ The company hauled in $500 million in sales last year.
 haul off 
     haul sb off to take someone away somewhere, using force:
   ▪ A big male nurse came up and hauled Tom off.
   + to
   ▪ I was handcuffed and hauled off to the County jail.
   ■ SIMILAR TO: ↑drag off
 haul up 
    be hauled up to be forced to appear in a court of law or to see someone in authority, so that they can decide whether you have broken a law or rule, and punish you if necessary
   + for
   ▪ Her grandfather was hauled up for tax evasion.
   + before/in front of
   ▪ Bar staff who serve drunk drivers are liable to get hauled up in front of the local magistrate.",
486,"have","英:/hæv/ 美:/hæv/","have
  [had, had, having]
 have against 
     have sth against sb/sth  not progressive to dislike or disapprove of someone or something for a particular reason, for example because they have done something wrong in the past:
   ▪ I can't see what you have against Alex's friends.
   have nothing against sb/sth (=used to say that there is nothing you dislike or disapprove of about someone or something)
   ▪ Potter had nothing against the monarchy, in principle.
 have around 
     have sb around/round • have sb around/round sb/sth to have someone near you or available to help you if necessary:
   ▪ It's a help to have your family around when you've got a new baby.
   ▪ Just the thought of having her around the place made him irritable.
 have at 
  1.  have at it AmE spoken informal used to encourage someone to do or try something:
   ▪ &quot;If that's what you want, have at it,&quot; said Marvin.
   ■ SIMILAR TO: go for it
  2.  have at it AmE informal to fight or attack someone:
   ▪ The brothers both looked ready to have at it, but something held them back.
   ■ SIMILAR TO: ↑fight
 have away 
    have it away BrE informal to have sex with someone - often used humorously:
   ▪ They were having it away in the back of her car.
   ■ SIMILAR TO: have it off  BrE spoken informal
 have back 
  1.   have sth back to have something that you had before because someone has given it to you:
   ▪ I don't need the book anymore - you can have it back if you like.
  2.   have sb back to agree to start to have a romantic relationship with someone again after you have separated from them:
   ▪ Do you think he'd have her back after all she's done?
 have down as 
     have sb down as  not progressive to think that someone or something has a particular character, especially when you later find out that you were wrong:
   ▪ I didn't have her down as the motherly type.
   ▪ Until then we all had him down as a bit of a wimp.
   ■ SIMILAR TO: consider, ↑put down as
 have in 
  1.   have sb in to get builders, workers etc to come to your house to do some work on it for you:
   ▪ We've already had an architect in to look at the plans.
   ▪ The people nextdoor to us have had the builders in all week. They've made a terrible mess of our drive.
  2.   have sb in to invite someone to come to your house for a meal, drink, conversation etc
   + for
   ▪ Last night we had Miles and Susan in for a meal.
   ■ SIMILAR TO: ↑have over
 have off 
  1.   have sth off if you have a light, the heating etc off, you do not use it:
   ▪ The car in front had its lights off.
   ▪ It's been so warm we've had the heating off.
  2.  have it off BrE informal to have sex with someone:
   ▪ They were having it off in the bushes.
   ▪ Didn't you know that Pete was having it off with Nicola?
   ■ SIMILAR TO: have it away  BrE spoken informal
 have on 
  1.   have sth on • have on sth  not progressive, not passive to be wearing something:
   ▪ Everyone in the room had a dark suit on except me.
   ▪ When we picked her up, she had on a red skirt and high heels.
   have nothing on/not have anything on
   ▪ Don't come in! I don't have anything on!
   ■ SIMILAR TO: ↑wear
  2.   have sth on  not progressive, not passive if you have the radio, television, light etc on, you use it and it is working:
   ▪ Are we allowed to have the TV on?
   ▪ We're having the heating on at night at the moment.
  3.  be having sb on BrE informal to pretend to someone that something is true when it is not, as a joke:
   ▪ When he told me he was a nuclear physicist, I thought he was having me on.
   ▪ Tim's having you on, Mary. Don't take any notice of him.
  4.   have sth on you  not progressive to have something in your pockets, bag etc:
   ▪ Do you have any money on you? I've left mine in the car.
   ▪ The police searched her and let her go. She had nothing on her.
  5.   have sth on  not progressive, not passive BrE to have an arrangement to do something:
   ▪ What about tomorrow lunchtime? I haven't anything on then.
   have a lot on (=be very busy)
   ▪ Jo seems to have a lot on at the moment.
  6.  have something on sb to have information about someone that shows they have been involved with something bad or illegal:
   ▪ I think the police must have something on him.
   have nothing on sb/not have anything on sb
   ▪ `He's not on our records,' the detective said, `We've got nothing on him.'
 have out 
  1.   have sth out if you have a tooth or a part of your body out, a dentist or doctor removes it. A dentist is a kind of doctor who looks after people's teeth:
   ▪ I hate having my teeth out.
   ▪ She was rushed to hospital to have her appendix out.
   ■ SIMILAR TO: have sth removed
  2.  have it out with sb informal to try to end a disagreement or a difficult situation by talking to the person who you are angry with and telling them why you are angry:
   ▪ Joe's really upset. He's going to see Mum and have it out with her right now.
   ▪ We had to wait till the kids were asleep before we could have it out.
 have over 
     have sb over/round to invite someone to come to your house for a meal, drink, conversation etc:
   ▪ We had some people round at the weekend.
   ▪ Is it all right if I have a few friends over this evening?
 have round 
   ► see ↑have around
   ► see ↑have over
 be had up for 
     be had up for sth BrE informal to be taken to court because you have committed a crime are thought to have been involved in criminal activities:
   ▪ Sarah was had up for theft when she was only 14.",
487,"hazard","英:/ˈhæzəd/ 美:/ˈhæzəd/","- vt. 尝试着做[提出]
- 冒风险
- n. 危险；公害
Hazard哈泽德(姓氏)

时 态:  
hazarded，hazarding，hazards",
488,"heels","英:/hi:lz/ 美:/hilz/","- n. 脚踝；残余料；高跟鞋（heel的复数）
- v. 紧跟；给（鞋等）装跟（heel的三单形式）",
489,"herald","英:/'her(ə)ld/ 美:/'hɛrəld/","- n. 使者, 预报者
- vi. 预示

时 态:  
heralded, heralding, heralds",
490,"heritage","英:/'herɪtɪdʒ/ 美:/'hɛrɪtɪdʒ/","- n. 遗产, 继承物
- 传统",
491,"hermit","英:/'hɜːmɪt/ 美:/'hɝmɪt/","n. (尤指早期基督教的)隐居修道士; 隐士; 遁世者",
492,"hiccup","英:/'hɪkʌp/ 美:/'hɪkəp/","- n. 嗝，呃逆
- 连续地打嗝
- 暂时性的小问题；短暂的停顿

时 态:  
hiccuppedalso hiccoughed 
hiccuppinghiccoughing 
hiccupshiccoughs",
493,"hierarchy","英:/'haɪərɑːkɪ/ 美:/'haɪərɑrki/","- n. 等级制度
- 统治集团, 领导层",
494,"hint","英:/hɪnt/ 美:/hɪnt/","hint
 hint at 
     hint at sth to suggest that something is true or likely without saying it directly:
   ▪ In his speech the president hinted at the possible use of force.
   ▪ Sally looked worried. &quot;What are you hinting at, Gus?&quot;
   + what/where/why etc
   ▪ Sometimes my mother hinted at why she'd left my father, but that was all.
   ■ SIMILAR TO: imply",
495,"hit","英:/hɪt/ 美:/hɪt/","hit
  [hit, hit, hitting]
 hit at 
  1.  hits at sb/sth BrE to publicly criticize or attack someone or something - used especially in the titles of newspaper reports:
   ▪ President hits at Serb aggression is Kosovo
   ▪ Amnesty International hits at treatment of political prisoners in Iraq
   ■ SIMILAR TO: criticize, attack
  2.   hit at sth  not progressive to have a bad effect on something and damage it or show that it is wrong:
   ▪ This hits at the established idea that there is no legal limit to Parliament's power.
 hit back 
     hit back to criticize or attack a person or group, especially publicly, because they have criticized or attacked you.:
   ▪ The multi-millionaire has already hit back by threatening to take the newspaper to court.
   + at
   ▪ Police last night hit back at the lawyer's claim that they had mishandled the arrest.
   ■ SIMILAR TO: ↑strike back
 hit off 
    hit it off informal if two or more people hit it off, they like each other as soon as they meet each other and become friends very easily:
   ▪ Frank took me out to dinner and we really hit it off straight away.
   + with
   ▪ I didn't hit it off with the office manager.
   ■ SIMILAR TO: get on well  especially BrE
 hit on/upon ! Hit upon  is more formal than  hit on  and is mostly used in writing
  1.   hit on/upon sth to think of an idea or plan, especially one that is successful:
   ▪ They tried various methods before hitting on the right one.
   ▪ James Robertson, a Paisley grocer, hit on the idea of making marmalade from a barrel of bitter oranges he could not sell.
   ■ SIMILAR TO: ↑come up with
  2.   hit on/upon sth to discover the true facts about a situation, the real reason for something etc:
   ▪ James felt sure that he had hit on the truth.
   ▪ You've hit on precisely the thing that's worrying me most.
 hit on 
     hit on sb AmE spoken informal to talk to someone in a way that shows you think they are sexually attractive:
   ▪ This weird guy hit on every woman on our floor in the first week of college.
   ▪ A sixteen-year-old chick was hitting on him.
   ■ SIMILAR TO: ↑chat up
 hit out 
     hit out especially BrE to criticize something or someone strongly because you disapprove of them - used especially in news reports:
   ▪ An angry Hurst hit out: &quot;It was the worst match since I took over. Our team got what they deserved.&quot;
   + at
   ▪ The industry hit out yesterday at the increase in business taxes.
   ■ SIMILAR TO: ↑lash out
 hit up 
     hit sb up AmE informal to ask someone to give you something, especially money
   + for
   ▪ Why don't you hit Marty up for a loan and go shopping?
   ■ SIMILAR TO: ↑ask
 hit upon 
   ► see ↑hit on/upon",
496,"hitch","英:/hɪtʃ/ 美:/hɪtʃ/","hitch
  [hitched, hitched, hitching]
 hitch up 
     hitch up sth • hitch sth up to pull up a piece of clothing, so that it is higher up your body than before:
   ▪ She quickly finished hitching up her tights.
   ▪ He hitched up his jeans and waded out into the stream.
   ■ SIMILAR TO: ↑hike up",
497,"hitchhike","英:/'hɪtʃhaɪk/ 美:/'hɪtʃ,haɪk/","- n. 搭便车(旅行)
- vi. 作搭便车式的旅行

时 态:  
hitchhiked, hitchhiking, hitchhikes 

名 词:  
hitchhike

名 词:  
hitchhiker",
498,"holistic","英:/həʊˈlɪstɪk/ 美:/ho'lɪstɪk/","adj. 全部的",
499,"homesick","英:/'həʊmsɪk/ 美:/'homsɪk/","adj. 想家的；思乡病的


名 词:  
homesickness",
500,"horrific","英:/hɒ'rɪfɪk/ 美:/hə'rɪfɪk/","adj. 可怕的；令人毛骨悚然的",
501,"host","英:/həʊst/ 美:/host/","- n. 主人；主机；主持人；许多
- vt. 主持；当主人招待
- vi. 做主人；群集


时 态:  
hosted, hosting, hosts  

形容词:  
hostly",
502,"hostility","英:/hɒ'stɪlɪtɪ/ 美:/hɑ'stɪləti/","- n. 敌意, 敌对状态
- 战争行动, 战斗",
503,"humidity","英:/hjʊ'mɪdɪtɪ/ 美:/hju'mɪdəti/","n. 湿度, 潮湿, 湿气",
504,"humiliate","英:/hjʊ'mɪlɪeɪt/ 美:/hju'mɪlɪet/","vt. 使蒙羞, 羞辱, 使丢脸

时 态:  
humiliated, humiliating, humiliates",
505,"hut","英:/hʌt/ 美:/hʌt/","- n. 小屋；临时营房
- vt. 使住在小屋中；驻扎
- vi. 住在小屋中；驻扎


时 态:  
hutted, hutting, huts",
506,"hyena","英:/haɪ'iːnə/ 美:/haɪ'inə/","n. 鬣狗，土狼",
507,"hyenas","/hai'i:nə/","n. 土狼（hyena的复数形式）",
508,"hygiene","英:/'haɪdʒiːn/ 美:/'haɪdʒin/","n. 卫生学；卫生；保健法


名 词:  
hygienist",
509,"hyperfine","/'haɪpəfaɪn/","adj. 超精细的",
510,"hypocrite","英:/'hɪpəkrɪt/ 美:/'hɪpə'krɪt/","n. 伪君子, 伪善者",
511,"identical","英:/aɪ'dentɪk(ə)l/ 美:/aɪ'dɛntɪkl/","adj. 同一的

副 词:  
identically",
512,"identify","英:/aɪ'dentɪfaɪ/ 美:/aɪ'dɛntɪfaɪ/","identify
  [identified, identified, identifying]
 identify with 
  1.   identify with sb/sth to feel able to understand someone's character and feelings, especially because they seem similar to yours in some way:
   ▪ Young readers can easily identify with Helen, the main character in the story - she's a very ordinary teenager.
   ▪ Most of us will find it difficult to identify with the sufferings of a heroin addict.
  2.   be identified with sth to be considered by many people to have a close connection with someone or something:
   ▪ Fats Waller's name became to be identified with a unique style of jazz.
   ▪ Religion has often been closely identified with politics.
  3.   identify (yourself) with sb/sth to consider yourself to be part of a group that has a particular set of beliefs:
   ▪ Not all trade unionists were ready to identify with the Socialist Movement.
   ▪ politicians who wanted to identify themselves with reform",
