单词,解释
eternal,"adj. 永恒的；不朽的


副 词:  
eternally"
etymology,n. 词源学;词源说明
evacuate,"- vt. 排泄；疏散，撤退
- vi. 撤退；疏散；排泄


时 态:  
evacuated, evacuating, evacuates 

名 词:  
evacuator"
evacuee,n. 被疏散者；撤离者
evening,"- n. 傍晚；晚上；后期；（联欢性的）晚会
- adj. 在晚上的；为晚上的；晚上用的
- int. 晚上好（等于good evening）"
every rose had thorn,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
every so often,adv. 常常；时常；偶尔
Everyone carried out sentry duty fully armed,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
exactly,"- adv. 精确地；准确地；确切地
- (要求得到更多信息)究竟，到底
- (答语，表示赞同或强调正确)一点不错，正是如此，完全正确
- (说反话时用)并不，并没有
- (用于纠正某人说过的话)并非如此，不完全是这样"
excerpts,n. 摘由，节选（excerpt复数形式）
excessive,"adj. 过度的，过分的；极度的

副 词:  
excessively"
excitation,"- n. 惹起，激发
- 激动；兴奋
- (由刺激引起的器官、组织等的)应激反应
- 励磁
- 集电(对电子管或半导体控制电极加载信号电压)
- (原子获得高能量的)激发(过程)"
exclamatory,"adj. 叫喊的,感叹的,惊叹的"
excuse,"- vt. 原谅, 宽恕
- 使免除
- 为…辩解
- n. 理由, 借口, 辩解
- 原谅, 饶恕
- 歉意, 道歉

时 态:  
excused, excusing, excuses 

形容词:  
excusable

副 词:  
excusably

名 词:  
excuser"
exercise,"- n. 练习；运动；运用；操练；典礼；礼拜
- vt. 练习；锻炼；使用；使忙碌；使惊恐
- vi. 运动；练习


时 态:  
exercised, exercising, exercises 

形容词:  
exercisable"
exhibit,"- vt. 显示；展览；提出（证据等）
- n. 展览品；证据；展示会
- vi. 展出；开展览会


时 态:  
exhibited, exhibiting, exhibits 

形容词:  
exhibitory"
exotic,"- adj. 由外国引进的, 非本地的
- 奇异的, 醒目的, 吸引人的
Exoticadj. 外来的，外国来的"
expanse,n. 广阔的区域；宽阔；苍天；膨胀扩张
expat,"- v. 逐出国外，脱离国籍，放逐；移居国外
- n. 亡命国外者"
expedition,"- n. 远征；探险；考察
- 迅速，动作敏捷"
exploit,"- vt. 开发，开拓；剥削；开采
- n. 勋绩；功绩


时 态:  
exploited, exploiting, exploits  

名 词:  
exploitability

形容词:  
exploitable

名 词:  
exploiter"
extended,"- adj. 延伸的；广大的；长期的；扩大的
- v. 延长；扩充（extend的过去分词）"
exteriors,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
extraction,"- n. 取出，拔出；开采
- 拔牙
- 血统，家世"
extrapolation,"- n. 推断
- 外推(法)"
fabricate,"- vt. 编造，捏造，虚构；伪造
- 建造

时 态:  
fabricated，fabricating，fabricates 

名 词:  
fabrication

名 词:  
fabricator"
facilitate,"vt. 使便利, 减轻…的困难

时 态:  
facilitated, facilitating, facilitates 

名 词:  
facilitator"
faecal,adj. 渣滓的；排泄物的（等于fecal）
fallacy,n. 谬论，谬误
falsify,"- vt. 篡改；伪造
- n. 弄虚作假；歪曲
- n. 弄虚作假者；伪造者

时 态:  
falsified，falsifying，falsifies 

名 词:  
falsification

名 词:  
falsifier"
famine,n. 饥荒；饥饿，奇缺
fancy,"- n. 想像力；爱好；幻想
- adj. 想象的；奇特的；精选的；昂贵的
- vt. 设想；喜爱；想象；自负
- vi. 想象；幻想


副 词:  
fancily

名 词:  
fanciness"
fanwise,"- adv. 呈扇形展开地
- adj. 呈扇形展开的"
fatigue,"- n. 疲劳，疲乏；杂役
- vt. 使疲劳；使心智衰弱
- vi. 疲劳
- adj. 疲劳的


时 态:  
fatigued, fatiguing, fatigues"
feasibility,n. 可行性
feasible,adj. 可行的；可能的；可实行的
feature,"- n. 容貌；特色，特征；特写或专题节目
- vi. 起重要作用
- vt. 以…为特色；由…主演；特写


时 态:  
featured, featuring, features"
featureless,"adj. 无特色的,平凡的"
feed,"feed
  [fed, fed, feeding]
 feed back 
     feed back • feed back sth to give someone your opinion or the latest information about something, especially so it can be improved or changed
   + to
   ▪ Consumers are able to feed back to the company about its products.
   + with
   ▪ I am grateful to all those who fed back with their comments and suggestions.
   ■ SIMILAR TO: ↑report back
    feedback n  U advice, criticism etc about how good or useful something is:
   ▪ We've received some negative feedback from customers on the new computer software.
 feed in/into 
     feed sth into sth • feed in sth • feed sth in to put something into a machine, especially information or money:
   ▪ Information about the weather conditions is fed into a computer so that forecasts can be made.
   ▪ I kept feeding money into the machine, but I still didn't win anything.
 feed into 
     feed into sth if a river or road feeds into a bigger river or road, it joins it:
   ▪ Several rivers feed into the River Humber, including the River Derwent and the River Ouse.
   ■ SIMILAR TO: ↑join
 feed off 
  1.   feed off sth if an animal feeds off something, it gets food from it:
   ▪ Crows circled overhead, waiting to feed off the bodies of dead animals.
   ■ SIMILAR TO: ↑feed on
  2.   feed off sth to use something in order to continue to exist or to get an advantage for yourself - used especially to show disapproval:
   ▪ The press and the Royal Family feed off each other - they both need each other in order to survive.
   ▪ Some people accused him of feeding off his father's reputation as a writer.
   ■ SIMILAR TO: ↑feed on
 feed on 
  1.   feed on sth if an animal feeds on a particular food, it usually eats that food:
   ▪ Owls feed on mice and other small animals.
   ▪ Butterflies feed on nectar collected from flowers.
   ■ SIMILAR TO: ↑feed off
  2.   feed sth/sb on sth to regularly give an animal or person a particular kind of food to eat:
   ▪ The cattle are fed on barley and grass.
   ▪ Parents feed their children on all kinds of rubbish, but they still seem to grow up OK in the end.
  3.   feed on sth to use something in order to become stronger or more successful, especially people's fears or worries - used especially to show disapproval:
   ▪ The Fascists were able to feed on people's fears about the country's economic situation.
   ▪ Prejudice feeds on mistrust and ignorance.
   ■ SIMILAR TO: ↑feed off
 feed to 
     feed sth to sth/sb to give an animal or person a particular food:
   ▪ Don't feed those apples to the squirrels!
   ▪ How can you feed that junk to your kids?
 feed up 
  1.   feed sb up BrE to give someone a lot of food, especially to make them healthy and not too thin:
   ▪ When I was young, my grandmother was always trying to feed me up with sweets and biscuits.
   ▪ A lot of models these days look like they need feeding up.
  2.  be fed up informal to be bored, annoyed, or unhappy, especially because a situation that you do not like has continued for too long:
   ▪ You look fed up. What's the matter?
   + with
   ▪ People are fed up with airport delays.
   ▪ She got fed up with being treated like some kind of servant.
   ■ SIMILAR TO: be hacked off  informal"
feed on,"feed on
  1.   feed on sth if an animal feeds on a particular food, it usually eats that food:
   ▪ Owls feed on mice and other small animals.
   ▪ Butterflies feed on nectar collected from flowers.
   ■ SIMILAR TO: ↑feed off
  2.   feed sth/sb on sth to regularly give an animal or person a particular kind of food to eat:
   ▪ The cattle are fed on barley and grass.
   ▪ Parents feed their children on all kinds of rubbish, but they still seem to grow up OK in the end.
  3.   feed on sth to use something in order to become stronger or more successful, especially people's fears or worries - used especially to show disapproval:
   ▪ The Fascists were able to feed on people's fears about the country's economic situation.
   ▪ Prejudice feeds on mistrust and ignorance.
   ■ SIMILAR TO: ↑feed off"
fermentation,"- n. 发酵
- 激动, 纷扰"
ferocious,"adj. 凶猛的, 残忍的, 凶暴的

副 词:  
ferociously"
fidelity,n. 保真度；忠诚；尽责；精确
fieldwork,"n. 野战工事,野外工作,实地调查,现场工作

名 词:  
fieldworker"
fillings,n. 填料；充填料；馅料（filling的复数形式）
finance,"- n. 财政，财政学；金融
- vt. 负担经费，供给…经费
- vi. 筹措资金


时 态:  
financed, financing, finances"
firstname,n. 名
fishy,"adj. 鱼的；似鱼的；可疑的；呆滞的


比较级:  
fishier, fishiest 

副 词:  
fishily

名 词:  
fishiness"
fist,"n. 拳, 拳头

时 态:  
fisted, fisting, fists"
flake,"flake
  [flaked, flaked, flaking]
 flake off 
     flake off • flake off sth to break away from a surface in small, very thin pieces - use this especially about old paint or dry skin:
   ▪ The walls were damp, and some of the white paint was flaking off.
   ▪ There were ugly patches of red where the skin had flaked off her sunburned shoulders.
   ■ SIMILAR TO: ↑peel off
 flake out 
  1.   flake out BrE informal to suddenly fall asleep because you are very tired:
   ▪ He was so exhausted that he just flaked out on the sofa.
   ■ SIMILAR TO: ↑crash out  spoken informal, ↑zonk out  informal, especially AmE
  2.  be flaked out BrE informal to be extremely tired:
   ▪ I'm flaked out now. Could we talk about this in the morning?
   ■ SIMILAR TO: be shattered, be exhausted
  3.  flake out AmE informal to forget to do something that you promised to do:
   ▪ Paula flaked out and didn't get the tickets for the play tonight.
   + on
   ▪ Kathy kind of flaked out on us today."
flat,"- adj. 平坦的；单调的；浅的；扁平的
- adv. 断然地；平直地
- n. 平地；平面；公寓
- vi. 变平
- vt. 使变平


比较级:  
flatter, flattest 

副 词:  
flatly

名 词:  
flatness"
flavor,"- n. 味,味道
- 韵味,风味
- 香料,调味料
- 特点；特色
- vt. 给…调味
- 给…增添风趣

时 态:  
flavored, flavoring, flavors 

形容词:  
flavorless

形容词:  
flavorous

形容词:  
flavory"
flaw,"n.瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v.使生裂缝，使有裂纹；使无效；使有缺陷
vi.生裂缝；变得有缺陷

时 态:  
flawed, flawing, flaws 

形容词:  
flawy"
flee,"- vi. 逃走, 逃掉
- vt. 逃离, 逃避

时 态:  
fled 
fleeing, flees 

名 词:  
fleer"
fleet,"- adj. 快速的，敏捷的
- n. 舰队；小河；港湾
- vi. 疾驰；飞逝；掠过
- vt. 消磨


比较级:  
fleeter, fleetest 

副 词:  
fleetly

名 词:  
fleetness"
flimsy,"- adj. 脆弱的；浅薄的；易损坏的；不周密的
- n. 薄纸；复写纸；打字纸


比较级:  
flimsier, flimsiest 

副 词:  
flimsily

名 词:  
flimsiness"
flinch,"flinch
  [flinched, flinched, flinching]
 flinch from 
     flinch from sth  usually negative to avoid doing something because you do not like it or are afraid of it:
   ▪ He was a brave man and a great leader who never flinched from his duty.
   flinch from doing sth
   ▪ Ruth knew that she must not flinch from telling him the truth."
floorplan,平[楼]面布置图
flour,"- n. 面粉；粉状物质
- vt. 撒粉于；把…磨成粉


时 态:  
floured, flouring, flours 

形容词:  
floury"
flourish,"- vi. 茂盛, 繁荣
- 兴旺发达
- vt. 挥动

时 态:  
flourished, flourishing, flourishes"
flowery,"- adj. 用花装饰的
- (说话或作品)辞藻华丽的

比较级:  
flowerier, floweriest 

名 词:  
floweriness"
foot,"- n. 脚；英尺；末尾；步调
- vi. 步行；跳舞；总计
- vt. 支付；给……换底


复 数: 
feet"
formalism,"- n. (艺术、宗教等方面的)形式主义
- adj. 形式主义的

形容词:  
formalist

形容词:  
formalistic"
formidable,"- adj. 可怕的, 令人畏惧的
- 令人惊叹[钦佩]的
- 难以克服[对付]的

副 词:  
formidably"
formulae,"公式,规则,客套语(formula的复数)"
formulate,"- vt. 构想出, 规划
- 确切地阐述

时 态:  
formulated, formulating, formulates 

名 词:  
formulation

名 词:  
formulator"
fortune,"- n. 运气；财富；命运
- vt. 给予财富
- vi. 偶然发生


时 态:  
fortuned, fortuning, fortunes"
foster,"- vt. 养育，抚育；培养；抱（希望等）
- adj. 收养的，养育的

Foster福斯特(姓氏, 男子名)

时 态:  
fostered, fostering, fosters"
fourth,"num. 第四

副 词:  
fourth"
frail,"- adj. 虚弱的；脆弱的
- n. 灯心草篓；少妇；少女


比较级:  
frailer, frailest 

副 词:  
frailly

名 词:  
frailness"
frantically,adv. 疯狂地;狂热地
frenetic,"adj. 忙乱的, 狂乱的, 狂热的"
frontier,"- n. 边界, 边境
- 开发地区的边缘, 边远地区
- 尚待开发的领域, 尖端"
frontispiece,"n. 卷首插画,标题页,正面,正门"
frost,"frost
  [frosted, frosted, frosting]
 frost over/up 
     frost over/up to become covered in frost (= a thin layer of ice that looks like white powder):
   ▪ When we woke up, the windows had frosted over and we could see our breath.
   ▪ Turn on the heat - the windshield is frosting up."
frostbite,"n. 冻伤

时 态:  
frostbit 
frostbitten 
frostbiting, frostbites"
fruity,"- adj. 有果味的
- (粗俗而常含色情内容)逗笑的

比较级:  
fruitier, fruitiest"
frustrate,"- vt. 使不成功, 挫败, 阻止
- 使受挫折, 令人沮丧

时 态:  
frustrated, frustrating, frustrates"
frustrating,adj. 产生挫折的；使人沮丧的，令人泄气的
fumble,"fumble
  [fumbled, fumbled, fumbling]
 fumble around 
     fumble around/about to move your hands around in order to find something or do something, but with difficulty, for example because you cannot see or you feel nervous:
   ▪ Frank fumbled around in the darkness, unable to find the light switch.
   ▪ Before I learned how to use a computer, I would fumble about trying to work out which buttons to push.
   + with
   ▪ John nervously fumbled around with the papers on his desk."
furniture,n. 家具
furry,"- adj. 毛皮的
- 有皮毛般覆盖的

比较级:  
furrier, furriest 

名 词:  
furriness"
gap,"- n. 缺口；间隙；空白
- vi. 裂开
- vt. 使成缺口


时 态:  
gapped, gapping, gaps"
gape,"- vi. 裂开，张开；打呵欠
- n. 裂口，张嘴；呵欠


时 态:  
gaped, gaping, gapes"
gasoline,n. 汽油
gasp,"gasp
  [gasped, gasped, gasping]
 gasp out 
     gasp out sth • gasp sth out to say something with difficulty because you are breathing very quickly and deeply, for example because you have been using a lot of effort, or your body is weak:
   ▪ &quot;I think I've been shot,&quot; he gasped out, then fell to the ground.
   ■ SIMILAR TO: ↑gasp"
gear,"gear
  [geared, geared, gearing]
 gear to/towards 
     be geared to sth/sb • be geared towards sth/sb to be organized or designed in a way that is suitable for a particular purpose, situation, or type of person:
   ▪ At Club 18-30, all of our holidays are geared to maximum fun.
   ▪ There is a specialized sports and fitness program which is geared towards the needs of older people.
   geared to/towards doing sth
   ▪ Many schools are totally gearing towards passing exams instead of providing a broad education.
 gear up 
    gear up to prepare for something that is going to happen soon, or for something that may be necessary
   + for
   ▪ Unemployment fell by more than 3,000 as the region started to gear up for the tourist season.
   + to do sth
   ▪ Yeltsin was struggling to deal with the rebels at the same time as gearing up to run for re-election.
   gear yourself up
   ▪ Apple has been gearing itself up for the launch of its new computer, the iMac.
   be geared up (for sth/to do sth) (=be well prepared for sth)
   ▪ After years and years of married life, a lot of people aren't geared up to live independently.
   ■ SIMILAR TO: prepare"
genocide,"n. 种族灭绝；灭绝整个种族的大屠杀


形容词:  
genocidal"
genus,"n. 类，种；属


复 数: 
genera"
get about,"get about
  1. get about BrE to be able to move around places without much difficulty - use this about people who are old, ill, or injured:
   ▪ My grandfather's eighty now, and he doesn't get about much.
   ▪ Phil had broken his leg, but could still get about on crutches.
   ■ SIMILAR TO: ↑get around
    get about BrE to travel around a city or area:
   ▪ The streets are filled with bicycles, still the best way of getting about in Parma.
   ■ SIMILAR TO: ↑get around
  2.   get about BrE if news or information gets about, a lot of people hear about it - use this especially about information that should be secret:
   ▪ &quot;Who told you that!&quot; &quot;Well, you know how things get about in a small community,&quot; said Dimity awkwardly.
   ▪ I was sure that Maslin was having a homosexual affair, but how would Mrs Maslin feel if such a story got about?
   word gets about (=many people hear about something)
   ▪ Word had got about that the company was in trouble, and clients began to cancel their orders.
   ■ SIMILAR TO: ↑get out, ↑get around
  3.   get about BrE spoken to travel to a lot of different places:
   ▪ Tommy certainly gets about - last month he was in Japan, and now they've sent him to Singapore.
   ■ SIMILAR TO: ↑get around
  4.   get about BrE spoken to have sexual relationships with a lot of different people:
   ▪ That Brendan gets about a bit, you know. Every time I see him he's with a different woman.
   ■ SIMILAR TO: ↑get around"
get ahead,"get ahead
     get ahead to be successful in your job so that you can progress to a more important job or a higher rank:
   ▪ Work hard and you'll get ahead. That's what capitalism is all about.
   + in
   ▪ There are things I want do in my life: earn a good salary, get ahead in a career.
   ■ SIMILAR TO: ↑get on  BrE, progress"
get injured,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
giggle,"- vi. 傻笑；咯咯地笑
- vt. 咯咯地笑着说
- n. 吃吃的笑


时 态:  
giggled, giggling, giggles 

名 词:  
giggler

形容词:  
giggly"
give off,"give off
  1.   give off sth • give sth off to produce something such as a smell, heat, light, energy, gas, or a sound:
   ▪ The flowers gave off a sweet scent.
   ▪ the enormous amount of energy which is given off by nuclear reactions
   ■ SIMILAR TO: produce, ↑give out
  2.   give off sth if someone gives off a particular quality, they seem to have that quality from the way they look or behave:
   ▪ Felicity gave off an impression of light and warmth.
   ▪ Robert's father gave off an air of superiority and smugness.
   ■ SIMILAR TO: ↑give out, exude  formal"
glamorous,adj. 富有魅力的;迷人的
gleaming,"- n. 微弱的闪光，瞬息的一现
- adj. 闪闪发光的
- v. 闪烁， 隐约地闪现（gleam的ing形式）"
goose,"- n. 鹅
- 鹅肉
- 傻瓜, 笨蛋

复 数: 
geese"
gouge,"gouge
  [gouged, gouged, gouging]
 gouge out 
     gouge out sth • gouge sth out to remove something or dig it out, especially in a very violent way using something sharp:
   ▪ McClaren had struck Robert with a bottle and attempted to gouge out his eyes.
   ▪ 30,000 tonnes of rock a week are gouged out of the mountains."
gown,"- n. 长袍，长外衣；法衣；睡袍；礼服
- vt. 使穿睡衣


时 态:  
gowned, gowning, gowns"
granted,"conj. 诚然
adv. 的确
vt.  grant的过去式"
granularity,"n. 间隔尺寸,粒度"
graphic,"adj. 图表的；形象的；绘画似的


副 词:  
graphically"
grappling,抓机;锚定
grin,"- v. 露齿而笑，咧着嘴笑
- n. 露齿笑


时 态:  
grinned, grinning, grins 

名 词:  
grinner

副 词:  
grinningly"
grind,"grind
  [ground, ground, grinding]
 grind away 
     grind away  usually progressive informal to work very hard for a long period of time, especially when the work is boring or you do not seem to be making much progress:
   ▪ I've been grinding away for eight hours now, and I'm getting nowhere.
   ■ SIMILAR TO: ↑slave away, ↑boil away, ↑slog away  BrE informal
 grind away at 
     grind away at sth  usually progressive to gradually make something less strong or successful than it was before:
   ▪ The scandal is grinding away at the President's popularity.
 grind down 
  1.   grind down sb/sth • grind sb/sth down to gradually make someone lose their confidence, hope, or energy:
   ▪ A lot of the women have been ground down by illness and poverty.
   ▪ It was a poor country, ground down by war and economic blockade.
   ▪ Don't let the bastards grind you down!
   ■ SIMILAR TO: ↑wear down
  2.   grind down sth • grind sth down to make something solid into a powder, by crushing it:
   ▪ Chop the nuts and then grind them down before adding them to the sauce.
   ■ SIMILAR TO: ↑grind up
 grind on 
     grind on to continue for a long time in a slow and boring way:
   ▪ The trial ground on all through the long hot summer.
   ▪ The conversation ground on as the meal was consumed.
   ■ SIMILAR TO: ↑drag on
 grind out 
  1.   grind out sth • grind sth out to keep producing the same type of thing, without ever producing anything different or interesting:
   ▪ In nine months she managed to grind out five new romantic novels.
   ■ SIMILAR TO: ↑churn out
  2.   grind out sth • grind sth out AmE informal to manage to do something with a lot of effort:
   ▪ The home team were only able to grind out one touchdown against the Lions.
 grind up 
     grind up sth • grind sth up to make something solid into a powder, by crushing it:
   ▪ Local people grind up the leaves and use them to make tea.
   ▪ Mad cow disease started when parts of infected sheep were ground up and mixed with cattle feed.
   ■ SIMILAR TO: ↑grind down"
groceries,n. 食品;杂货
grocery,"- n. 杂货业
- 杂货店"
Gucci,n. 古琦（品牌名）
guerrilla,n. 游击队员
hanker,"hanker
  [hankered, hankered, hankering]
 hanker after/for 
     hanker after/for sth to want something very much, especially something that it is difficult for you to get:
   ▪ Now and then I really hanker for big home-cooked meals.
   ▪ It's always better to have money than to hanker after it.
   ■ SIMILAR TO: ↑long for, crave"
hardcover,"- n. 精装书
- adj. 精装书的,精装的"
harmoniously,adv. 和谐地;调和地
hatch,"hatch
  [hatched, hatched, hatching]
 hatch out 
     hatch out if birds, insects etc hatch out, or an egg hatches out, the baby animal breaks its shell and comes out of the egg:
   ▪ After a few days there were dozens of fluffy chicks hatching out."
haul,"haul
  [hauled, hauled, hauling]
 haul before 
    be hauled before/in front of sb to be forced to appear in a court of law or to see someone in authority, so that they can decide whether you have broken a law or rules etc and punish you if necessary:
   ▪ Stephens was the first airline pilot to be hauled before a criminal court and convicted of negligence.
   ▪ He was hauled up in front of the headmaster and asked to explain his behaviour.
   ■ SIMILAR TO: be hauled up
 haul in 
  1.   haul sb in if the police haul someone in, they take that person to the police station to answer questions about something illegal they have done:
   ▪ The police can't just haul someone in if they haven't got any evidence against them.
   + for
   ▪ Labourers were continually being hauled in for petty crime and drunkenness.
   ■ SIMILAR TO: arrest
  2.   haul in sth • haul sth in to pull something heavy towards you using a rope, for example a fishing net or sails:
   ▪ The fishermen were hauling in their nets and getting ready to go home.
  3.   haul in sth to earn or obtain a lot of something, especially money:
   ▪ The company hauled in $500 million in sales last year.
 haul off 
     haul sb off to take someone away somewhere, using force:
   ▪ A big male nurse came up and hauled Tom off.
   + to
   ▪ I was handcuffed and hauled off to the County jail.
   ■ SIMILAR TO: ↑drag off
 haul up 
    be hauled up to be forced to appear in a court of law or to see someone in authority, so that they can decide whether you have broken a law or rule, and punish you if necessary
   + for
   ▪ Her grandfather was hauled up for tax evasion.
   + before/in front of
   ▪ Bar staff who serve drunk drivers are liable to get hauled up in front of the local magistrate."
have,"have
  [had, had, having]
 have against 
     have sth against sb/sth  not progressive to dislike or disapprove of someone or something for a particular reason, for example because they have done something wrong in the past:
   ▪ I can't see what you have against Alex's friends.
   have nothing against sb/sth (=used to say that there is nothing you dislike or disapprove of about someone or something)
   ▪ Potter had nothing against the monarchy, in principle.
 have around 
     have sb around/round • have sb around/round sb/sth to have someone near you or available to help you if necessary:
   ▪ It's a help to have your family around when you've got a new baby.
   ▪ Just the thought of having her around the place made him irritable.
 have at 
  1.  have at it AmE spoken informal used to encourage someone to do or try something:
   ▪ &quot;If that's what you want, have at it,&quot; said Marvin.
   ■ SIMILAR TO: go for it
  2.  have at it AmE informal to fight or attack someone:
   ▪ The brothers both looked ready to have at it, but something held them back.
   ■ SIMILAR TO: ↑fight
 have away 
    have it away BrE informal to have sex with someone - often used humorously:
   ▪ They were having it away in the back of her car.
   ■ SIMILAR TO: have it off  BrE spoken informal
 have back 
  1.   have sth back to have something that you had before because someone has given it to you:
   ▪ I don't need the book anymore - you can have it back if you like.
  2.   have sb back to agree to start to have a romantic relationship with someone again after you have separated from them:
   ▪ Do you think he'd have her back after all she's done?
 have down as 
     have sb down as  not progressive to think that someone or something has a particular character, especially when you later find out that you were wrong:
   ▪ I didn't have her down as the motherly type.
   ▪ Until then we all had him down as a bit of a wimp.
   ■ SIMILAR TO: consider, ↑put down as
 have in 
  1.   have sb in to get builders, workers etc to come to your house to do some work on it for you:
   ▪ We've already had an architect in to look at the plans.
   ▪ The people nextdoor to us have had the builders in all week. They've made a terrible mess of our drive.
  2.   have sb in to invite someone to come to your house for a meal, drink, conversation etc
   + for
   ▪ Last night we had Miles and Susan in for a meal.
   ■ SIMILAR TO: ↑have over
 have off 
  1.   have sth off if you have a light, the heating etc off, you do not use it:
   ▪ The car in front had its lights off.
   ▪ It's been so warm we've had the heating off.
  2.  have it off BrE informal to have sex with someone:
   ▪ They were having it off in the bushes.
   ▪ Didn't you know that Pete was having it off with Nicola?
   ■ SIMILAR TO: have it away  BrE spoken informal
 have on 
  1.   have sth on • have on sth  not progressive, not passive to be wearing something:
   ▪ Everyone in the room had a dark suit on except me.
   ▪ When we picked her up, she had on a red skirt and high heels.
   have nothing on/not have anything on
   ▪ Don't come in! I don't have anything on!
   ■ SIMILAR TO: ↑wear
  2.   have sth on  not progressive, not passive if you have the radio, television, light etc on, you use it and it is working:
   ▪ Are we allowed to have the TV on?
   ▪ We're having the heating on at night at the moment.
  3.  be having sb on BrE informal to pretend to someone that something is true when it is not, as a joke:
   ▪ When he told me he was a nuclear physicist, I thought he was having me on.
   ▪ Tim's having you on, Mary. Don't take any notice of him.
  4.   have sth on you  not progressive to have something in your pockets, bag etc:
   ▪ Do you have any money on you? I've left mine in the car.
   ▪ The police searched her and let her go. She had nothing on her.
  5.   have sth on  not progressive, not passive BrE to have an arrangement to do something:
   ▪ What about tomorrow lunchtime? I haven't anything on then.
   have a lot on (=be very busy)
   ▪ Jo seems to have a lot on at the moment.
  6.  have something on sb to have information about someone that shows they have been involved with something bad or illegal:
   ▪ I think the police must have something on him.
   have nothing on sb/not have anything on sb
   ▪ `He's not on our records,' the detective said, `We've got nothing on him.'
 have out 
  1.   have sth out if you have a tooth or a part of your body out, a dentist or doctor removes it. A dentist is a kind of doctor who looks after people's teeth:
   ▪ I hate having my teeth out.
   ▪ She was rushed to hospital to have her appendix out.
   ■ SIMILAR TO: have sth removed
  2.  have it out with sb informal to try to end a disagreement or a difficult situation by talking to the person who you are angry with and telling them why you are angry:
   ▪ Joe's really upset. He's going to see Mum and have it out with her right now.
   ▪ We had to wait till the kids were asleep before we could have it out.
 have over 
     have sb over/round to invite someone to come to your house for a meal, drink, conversation etc:
   ▪ We had some people round at the weekend.
   ▪ Is it all right if I have a few friends over this evening?
 have round 
   ► see ↑have around
   ► see ↑have over
 be had up for 
     be had up for sth BrE informal to be taken to court because you have committed a crime are thought to have been involved in criminal activities:
   ▪ Sarah was had up for theft when she was only 14."
hazard,"- vt. 尝试着做[提出]
- 冒风险
- n. 危险；公害
Hazard哈泽德(姓氏)

时 态:  
hazarded，hazarding，hazards"
heels,"- n. 脚踝；残余料；高跟鞋（heel的复数）
- v. 紧跟；给（鞋等）装跟（heel的三单形式）"
herald,"- n. 使者, 预报者
- vi. 预示

时 态:  
heralded, heralding, heralds"
heritage,"- n. 遗产, 继承物
- 传统"
hermit,n. (尤指早期基督教的)隐居修道士; 隐士; 遁世者
hiccup,"- n. 嗝，呃逆
- 连续地打嗝
- 暂时性的小问题；短暂的停顿

时 态:  
hiccuppedalso hiccoughed 
hiccuppinghiccoughing 
hiccupshiccoughs"
hierarchy,"- n. 等级制度
- 统治集团, 领导层"
hint,"hint
 hint at 
     hint at sth to suggest that something is true or likely without saying it directly:
   ▪ In his speech the president hinted at the possible use of force.
   ▪ Sally looked worried. &quot;What are you hinting at, Gus?&quot;
   + what/where/why etc
   ▪ Sometimes my mother hinted at why she'd left my father, but that was all.
   ■ SIMILAR TO: imply"
